postal_code,name_km,name_en,type,province_code,district_code
020603,ឃុំ ព្រៃស្វាយ,Prey Svay Commune,commune,020000,020600
020604,ឃុំ រុស្សីក្រាំង,Ruessei Krang Commune,commune,020000,020600
020605,ឃុំ ជ្រៃ,Chrey Commune,commune,020000,020600
020606,ឃុំ តាលាស់,Ta Loas Commune,commune,020000,020600
020607,ឃុំ កorg org org,Kakaoh Commune,commune,020000,020600
020608,ឃorg org org org,Prey Touch Commune,commune,020000,020600
020609,ឃorg org org org,Robas Mangkul Commune,commune,020000,020600
020700,org org org org org,Rotanak Mondol District,district,020000,020700
020701,org org org org org,Sdau Commune,commune,020000,020700
020702,org org org org org,Andaeuk Haeb Commune,commune,020000,020700
020703,org org org org org,Pniouv Meas Commune,commune,020000,020700
020704,org org org org org,Traeng Commune,commune,020000,020700
020705,org org org org org,Reaksmei Sangha Commune,commune,020000,020700
020800,org org org org org,Sangkae District,district,020000,020800
020801,org org org org org,Anlung Vil Commune,commune,020000,020800
020802,org org org org org,Norea Commune,commune,020000,020800
020803,org org org org org,Ta Pon Commune,commune,020000,020800
020804,org org org org org,Roka Commune,commune,020000,020800
020805,org org org org org,Kampong Preah Commune,commune,020000,020800
020806,org org org org org,Kampong Prieng Commune,commune,020000,020800
020807,org org org org org,Reang Kesei Commune,commune,020000,020800
020808,org org org org org,Ou Dambang Muoy Commune,commune,020000,020800
020809,org org org org org,Ou Dambang Pir Commune,commune,020000,020800
020810,org org org org org,Vaot Ta Muem Commune,commune,020000,020800
020900,org org org org org,Samlout District,district,020000,020900
020901,org org org org org,Ta Taok Commune,commune,020000,020900
020902,org org org org org,Kampong Lpov Commune,commune,020000,020900
020903,org org org org org,Ou Samrel Commune,commune,020000,020900
020904,org org org org org,Sung Commune,commune,020000,020900
020905,org org org org org,Samlout Commune,commune,020000,020900
020906,org org org org org,Mean Chey Commune,commune,020000,020900
020907,org org org org org,Ta Sanh Commune,commune,020000,020900
021000,org org org org org,Sampov Lun District,district,020000,021000
021001,org org org org org,Sampov Lun Commune,commune,020000,021000
