# Cambodia Postal Codes - English Names Only
# Format: postal_code|English Name
# Khmer names will be added in a separate step

# Page 3: Banteay Meanchey Province (01)
010000|Banteay Meanchey Province
010200|Mangkul Bourei District
010201|Banteay Neang Commune
010202|Bat Trang Commune
010203|Chamnaom Commune
010204|Kouk Ballang Commune
010205|Koy Maeng Commune
010206|Ou Prasat Commune
010207|Phnum Touch Commune
010208|Rohat Tuek Commune
010209|Ruessei Kraok Commune
010210|Sambour Commune
010211|Soea Commune
010212|Srah Reang Commune
010213|Ta Lam Commune
010300|Phnum Srok District
010301|Nam Tau Commune
010302|Paoy Char Commune
010303|Punley Commune
010304|Spean Sraeng Commune
010305|Srah Chik Commune
010306|Phnum Dei Commune
010400|Preah Net Preah District
010401|Chhnuom Mean Chey Commune
010402|Chub Vari Commune
010403|Phnum Lieb Commune
010404|Prasat Commune
010405|Preah Net Preah Commune

# Page 4
010406|Rohal Commune
010407|Tean Kam Commune
010408|Tuek Chour Commune
010409|Bos Sbouv Commune
010500|Ou Chrov District
010501|Changha Commune
010502|Koub Commune
010503|Kuttasat Commune
010504|Samraong Commune
010505|Souphi Commune
010506|Soeng Commune
010507|Ou Beichoan Commune
010600|Serei Saophoan Municipality
010601|Sangkat Kampong Svay
010602|Sangkat Kaoh Pong Sat
010603|Sangkat Mkak
010604|Sangkat Ou Ambel
010605|Sangkat Phniet
010606|Sangkat Preah Punlea
010607|Sangkat Tuek Thla
010700|Thma Puok District
010701|Banteay Chhmar Commune
010702|Kouk Romiet Commune
010703|Phum Thmei Commune
010704|Thma Puok Commune
010705|Kouk Kakthen Commune
010706|Kumru Commune
010800|Svay Chek District
010801|Phkoam Commune
010802|Sarung Commune
010803|Sla Kram Commune
010804|Svay Chek Commune
010805|Ta Baen Commune
010806|Ta Phou Commune
010807|Treas Commune

# Page 5
010808|Rolous Commune
010900|Malai District
010901|Boeng Beng Commune
010902|Malai Commune
010903|Ou Sampoar Commune
010904|Ou Sralau Commune
010905|Tuol Pongro Commune
010906|Ta Kung Commune
011000|Paoy Paet Municipality
011001|Sangkat Nimit
011002|Sangkat Paoy Paet
011003|Sangkat Phsar Kandal
011004|Sangkat Ou Chrov
011005|Sangkat Ou Ruessei

# Province 02: Battambang
020000|Battambang Province
020100|Banan District
020101|Kantueu Muoy Commune
020102|Kantueu Pir Commune
020103|Bay Damram Commune
020104|Chheu Teal Commune
020105|Chheung Mean Chey Commune
020106|Phnum Sampov Commune
020107|Snoeng Commune
020108|Ta Kream Commune
020200|Thma Koul District
020201|Ta Pung Commune
020202|Ta Meun Commune
020203|Ou Ta Ki Commune
